"Principal Investigator","Lab website","Research description"
"Arking, Robert","http://bio.wayne.edu/profhtml/arking/arking.html","I am interested in understanding the mechanisms underlying the onset of senescence in Drosophila."
"Berg, Celeste","http://berglab.gs.washington.edu/tmp/The.html","In the Berg Lab, we use the fruit fly Drosophila melanogaster to investigate cell communication and cell migration, two processes critical for development and human disease progression. We study the signaling pathways that pattern the follicular epithelium surrounding the oocyte. We also investigate the link between these cell fates and the subsequent cell shape changes and movements that reorganize the flat epithelium into two closed tubes. Patterning and morphogenesis are the fundamental building blocks of all developmental processes."
"Bernard, Phil","http://www.huntsmancancer.org/group/bernard/bernardLab.jsp","Because the clinical behavior of cancer cannot be completely accounted for using morphology alone, it is important to develop molecular techniques for diagnosis, prognosis, and guiding treatment. The Bernard Lab is a “translational” research lab committed to the discovery and clinical implementation of biomarkers for classification, detection, and monitoring of cancer in humans."
"Bredesen, Dale","http://www.buckinstitute.org/TheScience/thebredesen/","The Bredesen laboratory focuses on the biochemical mechanisms that control cell death. Virtually all cells contain a set of internal suicide programs — cell suicide is a vital mechanism for development and maintenance in humans, and the loss of the tight regulation of cell death can result in a wide variety of diseases. Cancer develops when cells fail to commit suicide and continue to grow and survive, but too much cell death can also be harmful, such as occurs with neurodegenerative diseases like Alzheimer’s."
"Breitenbach, Michael","http://www.gen.sbg.ac.at/people/breitenb/index.htm","A major research activity in the Breitenbach lab is yeast mother cell-specific aging in relation to oxidative stress and oxygen toxicity. "
"Brunet, Anne","http://www.stanford.edu/group/brunet/","Our laboratory studies the molecular mechanisms of aging and longevity. We are particularly interested in the aging of the nervous system. An emerging concept is that organismal aging, long thought to be a byproduct of wear and tear, is actually a highly controlled process, regulated by a combination of genetic and environmental factors. The search for genes that play a central role in controlling lifespan in several species has converged on components of the signaling pathway that connects insulin/insulin like growth factors to FOXO transcription factors and on the family of Sirtuin deacetylases."
"Brusilow, William","http://www.med.wayne.edu/biochem/BMB_Faculty/Brusilow.html",
"Campisi, Judith","http://www.buckinstitute.org/TheScience/thecampisi/","The Campisi laboratory is focused on understanding the cellular and molecular biology of aging, specifically by exploring the causes and consequences of cellular senescence (when cells are no longer able to divide) and cell death, and the effects of DNA damage and repair on premature aging and cancer-prone syndromes. "
"Churchill, Gary","http://churchill.jax.org/","Our lab is actively applying a systems approach to study the genetics of health and disease, incorporating new statistical methods for the investigation of complex disease-related traits in the mouse."
"DePinho, Ronald","http://research4.dfci.harvard.edu/DePinho/DePinho_Lab/Home.html","The DePinho laboratory takes an integrated genomics and biological systems approach to (i) discover and validate oncogenes and tumor suppressor genes, (ii) elucidate the mechanisms driving cancer-associated chromosomal instability with an emphasis on telomeres and DNA damage checkpoint pathways, (iii) define the role of stem cells and cancer stem cells and related developmental pathways in origins and maintenance of tumors, (iv) the development and characterization of mouse models of human cancer particularly pancreas, colon, brain, breast and lymphoid systems, and (v) the discovery and development of novel cancer therapies directed against  newly discovered and rigorously validated oncogenes."
"Dillin, Andrew","http://sites.google.com/site/dillinlab/","Dr Dillin’s laboratory works on the genetic and molecular mechanisms that regulate aging and aging-related disease, using both the nematode worm C. elegans and the mouse as model systems. By elucidating the shared genetic pathways that regulate longevity both in lower organisms and mammals, we aim to uncover new therapeutic strategies for the treatment of age-related pathologies including diabetes, cancer and Alzheimer’s."
"Driscoll, Monica","http://lifesci.rutgers.edu/~molbiosci/faculty/driscoll.html",
"Fields, Stan ","http://depts.washington.edu/sfields/","We are interested in developing simple genetic strategies in yeast to analyze protein functions."
"Finch, Caleb E.","http://www.usc.edu/programs/neuroscience/faculty/profile.php?fid=37",
"Fontana, Walter","http://fontana.med.harvard.edu/www/index.htm","These strategies include assays that analyze proteins, DNA, RNA, and small molecules."
"Gems, David","http://www.ucl.ac.uk/~ucbtdag/","A major focus of current work in this laboratory is understanding the genes and biochemical processes by which reduced insulin/IGF-1 signalling and dietary restriction increase lifespan. Other interests include sex differences in the biology of ageing, evolutionary conservation of mechanisms of ageing, and bioethical implications of ageing research."
"Giebultowics, Jadwiga","http://entomology.oregonstate.edu/personnel/jadwiga-giebultowicz","Regulation of insect susceptibility to pesticides. Regulation if insect response to oxidative stress. Roles of biological clocks in insect reproduction."
"Goldberg, Alfred","https://agoldberg.med.harvard.edu/","Proteins in the body are constantly being made and then broken down into amino acids. The destruction of the cell's building blocks appears very wasteful at first glance, but it is the cell's version of quality control, which eliminates damaged proteins. Furthermore, the amino acids provide emergency rations for the cell when it is starving. The Goldberg lab is attempting to understand why the cell's machinery destroys only damaged proteins, leaving normal proteins untouched. They are also studing how protein breakdown is important in the body's immune defenses, why the destruction process goes into high gear in certain disease states such as cancer, and how this excessive destruction can be controlled."
"Gottschling, Dan","http://labs.fhcrc.org/gottschling/","Our laboratory uses the budding yeast Saccharomyces cerevisiae as a model system to investigate fundamental questions in biology. One of our current areas of interest is understanding the striking link between increasing age and the incidence of cancer in humans. A hallmark of cancer, genomic instability, is observed in all types of organisms including yeast. We recently discovered that as yeast cells enter the middle-to-late period of their replicative lifespan, they switch to a state of high genomic instability that persists until death.We believe this change represents a fundamental transition in many aging cells and thus are taking a number of approaches to understand the mechanism underlying this phenomenon."
"Guarente, Leonard","http://web.mit.edu/biology/guarente/","Why do living things age? What genes influence longevity? Is it possible to extend youthfulness by means of genetic manipulation? Our research analyzes these tantalizing questions and others in molecular detail."
"Helfand, Stephen","http://research.brown.edu/myresearch/Stephen_Helfand","Our research has focused on understanding the molecular, cellular and genetic mechanisms underlying the process of aging and the determination of life span using the fruit fly, Drosophila melanogaster, as a model system"
"Hu, Patrick","http://www.lsi.umich.edu/facultyresearch/labs/hu","We use the nematode C. elegans as a model system for studying evolutionarily conserved signal transduction pathways that are dysregulated in human disease, with the eventual goal of generating hypotheses that can be tested in mouse models of human disease."
"Johnson, F.Bradley","http://www.med.upenn.edu/apps/faculty/index.php/g275/p11052","Our lab is interested in the biology of human aging and cancer, and we are focusing particularly on how they are influenced by telomere maintenance and dysfunction. "
"Harrison, David","http://research.jax.org/faculty/harrison/index.html","Our research in gerontology focuses on the development and testing of hypotheses about the causes of aging in mice. Our long term goal is for our research to lead to longer, healthier lives for humans"
"Hidalgo, Elena","http://www.upf.edu/osccg/leaders/hidalgo.html","Our group is interested in, using the fission yeast as a model system, studying the components and molecular mechanisms which regulate the responses to oxidative stress and the mitotic and meiotic cell cycle. "
"Hope, Ian","http://bgypc059.leeds.ac.uk/~web/index.html","In this laboratory, we study gene expression profiles of the nematode worm Caenorhabditis elegans."
